Id,ActivityHour,TotalIntensity,AverageIntensity,Hour
1503960366,4/12/16 0:00,20,0.333333,Tuesday
1503960366,4/12/16 1:00,8,0.133333,Tuesday
1503960366,4/12/16 2:00,7,0.116667,Tuesday
1503960366,4/12/16 3:00,0,0,Tuesday
1503960366,4/12/16 4:00,0,0,Tuesday
1503960366,4/12/16 5:00,0,0,Tuesday
1503960366,4/12/16 6:00,0,0,Tuesday
1503960366,4/12/16 7:00,0,0,Tuesday
1503960366,4/12/16 8:00,13,0.216667,Tuesday
1503960366,4/12/16 9:00,30,0.5,Tuesday
1503960366,4/12/16 10:00,29,0.483333,Tuesday
1503960366,4/12/16 11:00,12,0.2,Tuesday
1503960366,4/12/16 12:00,11,0.183333,Tuesday
1503960366,4/12/16 13:00,6,0.1,Tuesday
1503960366,4/12/16 14:00,36,0.6,Tuesday
1503960366,4/12/16 15:00,58,0.966667,Tuesday
1503960366,4/12/16 16:00,13,0.216667,Tuesday
1503960366,4/12/16 17:00,16,0.266667,Tuesday
1503960366,4/12/16 18:00,29,0.483333,Tuesday
1503960366,4/12/16 19:00,39,0.65,Tuesday
1503960366,4/12/16 20:00,41,0.683333,Tuesday
1503960366,4/12/16 21:00,31,0.516667,Tuesday
1503960366,4/12/16 22:00,9,0.15,Tuesday
1503960366,4/12/16 23:00,21,0.35,Tuesday
1503960366,4/13/16 0:00,14,0.233333,Wednesday
1503960366,4/13/16 1:00,0,0,Wednesday
1503960366,4/13/16 2:00,0,0,Wednesday
1503960366,4/13/16 3:00,4,0.066667,Wednesday
1503960366,4/13/16 4:00,0,0,Wednesday
1503960366,4/13/16 5:00,0,0,Wednesday
1503960366,4/13/16 6:00,0,0,Wednesday
1503960366,4/13/16 7:00,8,0.133333,Wednesday
1503960366,4/13/16 8:00,12,0.2,Wednesday
1503960366,4/13/16 9:00,27,0.45,Wednesday
1503960366,4/13/16 10:00,15,0.25,Wednesday
1503960366,4/13/16 11:00,16,0.266667,Wednesday
1503960366,4/13/16 12:00,15,0.25,Wednesday
1503960366,4/13/16 13:00,10,0.166667,Wednesday
1503960366,4/13/16 14:00,46,0.766667,Wednesday
1503960366,4/13/16 15:00,13,0.216667,Wednesday
1503960366,4/13/16 16:00,10,0.166667,Wednesday
1503960366,4/13/16 17:00,23,0.383333,Wednesday
1503960366,4/13/16 18:00,25,0.416667,Wednesday
1503960366,4/13/16 19:00,13,0.216667,Wednesday
1503960366,4/13/16 20:00,0,0,Wednesday
1503960366,4/13/16 21:00,0,0,Wednesday
1503960366,4/13/16 22:00,11,0.183333,Wednesday
1503960366,4/13/16 23:00,56,0.933333,Wednesday
1503960366,4/14/16 0:00,4,0.066667,Thursday
